[18825.312953] mouse_logger: [18825660430328] type=2, code=0, value=2
[18825.312956] mouse_logger: [18825660433278] type=0, code=0, value=0
[18825.313955] mouse_logger: [18825661431434] type=2, code=0, value=2
[18825.313957] mouse_logger: [18825661434419] type=0, code=0, value=0
[18825.314952] mouse_logger: [18825662428815] type=2, code=0, value=1
[18825.314955] mouse_logger: [18825662431794] type=0, code=0, value=0
[18825.315952] mouse_logger: [18825663429352] type=2, code=0, value=2
[18825.315955] mouse_logger: [18825663432245] type=0, code=0, value=0
[18825.316953] mouse_logger: [18825664429999] type=2, code=0, value=2
[18825.316956] mouse_logger: [18825664433122] type=2, code=1, value=-1
[18825.316958] mouse_logger: [18825664434736] type=0, code=0, value=0
[18825.317953] mouse_logger: [18825665429861] type=2, code=0, value=2
[18825.317956] mouse_logger: [18825665432825] type=0, code=0, value=0
[18825.318953] mouse_logger: [18825666429549] type=2, code=0, value=1
[18825.318955] mouse_logger: [18825666432586] type=0, code=0, value=0
[18825.319954] mouse_logger: [18825667430494] type=2, code=0, value=2
[18825.319956] mouse_logger: [18825667433482] type=2, code=1, value=-1
[18825.319958] mouse_logger: [18825667435083] type=0, code=0, value=0
[18825.320957] mouse_logger: [18825668433846] type=2, code=0, value=2
[18825.320960] mouse_logger: [18825668436821] type=0, code=0, value=0
[18825.321954] mouse_logger: [18825669430419] type=2, code=0, value=1
[18825.321956] mouse_logger: [18825669433593] type=0, code=0, value=0
[18825.322957] mouse_logger: [18825670433774] type=2, code=0, value=1
[18825.322960] mouse_logger: [18825670436799] type=0, code=0, value=0
[18825.323953] mouse_logger: [18825671429614] type=2, code=0, value=2
[18825.323955] mouse_logger: [18825671432550] type=2, code=1, value=-1
[18825.323957] mouse_logger: [18825671434127] type=0, code=0, value=0
[18825.324953] mouse_logger: [18825672430328] type=2, code=0, value=2
[18825.324956] mouse_logger: [18825672433449] type=0, code=0, value=0
[18825.325929] mouse_logger: [18825673405893] type=2, code=0, value=1
[18825.325932] mouse_logger: [18825673409657] type=0, code=0, value=0
[18825.326958] mouse_logger: [18825674434712] type=2, code=0, value=1
[18825.326962] mouse_logger: [18825674438985] type=0, code=0, value=0
[18825.327951] mouse_logger: [18825675428060] type=2, code=0, value=2
[18825.327954] mouse_logger: [18825675431175] type=2, code=1, value=-1
[18825.327956] mouse_logger: [18825675432918] type=0, code=0, value=0
[18825.328956] mouse_logger: [18825676432554] type=2, code=0, value=1
[18825.328959] mouse_logger: [18825676435756] type=0, code=0, value=0
[18825.329954] mouse_logger: [18825677431367] type=2, code=0, value=2
[18825.329957] mouse_logger: [18825677434384] type=0, code=0, value=0
[18825.330952] mouse_logger: [18825678429306] type=2, code=0, value=1
[18825.330955] mouse_logger: [18825678432290] type=0, code=0, value=0
[18825.331949] mouse_logger: [18825679426217] type=2, code=0, value=1
[18825.331952] mouse_logger: [18825679429203] type=0, code=0, value=0
[18825.332953] mouse_logger: [18825680429790] type=2, code=0, value=2
[18825.332956] mouse_logger: [18825680432830] type=0, code=0, value=0
[18825.333953] mouse_logger: [18825681430381] type=2, code=0, value=1
[18825.333956] mouse_logger: [18825681433487] type=0, code=0, value=0
[18825.334953] mouse_logger: [18825682430038] type=2, code=0, value=1
[18825.334956] mouse_logger: [18825682433043] type=0, code=0, value=0
[18825.335953] mouse_logger: [18825683429717] type=2, code=0, value=2
[18825.335956] mouse_logger: [18825683433208] type=0, code=0, value=0
[18825.336956] mouse_logger: [18825684432888] type=2, code=0, value=1
[18825.336959] mouse_logger: [18825684435860] type=2, code=1, value=-1
[18825.336960] mouse_logger: [18825684437503] type=0, code=0, value=0
[18825.337925] mouse_logger: [18825685402079] type=2, code=0, value=1
[18825.337928] mouse_logger: [18825685405087] type=0, code=0, value=0
[18825.338934] mouse_logger: [18825686410330] type=2, code=0, value=1
[18825.338938] mouse_logger: [18825686415305] type=0, code=0, value=0
[18825.339934] mouse_logger: [18825687410544] type=2, code=0, value=2
[18825.339938] mouse_logger: [18825687415486] type=0, code=0, value=0
[18825.340929] mouse_logger: [18825688406148] type=2, code=0, value=1
[18825.340934] mouse_logger: [18825688410943] type=0, code=0, value=0
[18825.341929] mouse_logger: [18825689405846] type=2, code=0, value=2
[18825.341933] mouse_logger: [18825689409934] type=0, code=0, value=0
[18825.342943] mouse_logger: [18825690420400] type=2, code=0, value=1
[18825.342949] mouse_logger: [18825690425890] type=0, code=0, value=0
[18825.343929] mouse_logger: [18825691406097] type=2, code=0, value=1
[18825.343934] mouse_logger: [18825691411841] type=0, code=0, value=0
[18825.344937] mouse_logger: [18825692414080] type=2, code=0, value=2
[18825.344943] mouse_logger: [18825692420116] type=0, code=0, value=0
[18825.345931] mouse_logger: [18825693407733] type=2, code=0, value=1
[18825.345934] mouse_logger: [18825693411702] type=0, code=0, value=0
[18825.346930] mouse_logger: [18825694407094] type=2, code=0, value=1
