[ноя 6 23:23] mouse_logger: Performance stats - 0 events/sec
[  +0,000923] mouse_logger: [18798905113055] type=2, code=0, value=-1
[  +0,000006] mouse_logger: [18798905118599] type=0, code=0, value=0
[  +0,001016] mouse_logger: [18798906134323] type=2, code=1, value=1
[  +0,000004] mouse_logger: [18798906138965] type=0, code=0, value=0
[  +0,000976] mouse_logger: [18798907115029] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798907119313] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798907120959] type=0, code=0, value=0
[  +0,001997] mouse_logger: [18798909117522] type=2, code=1, value=1
[  +0,000004] mouse_logger: [18798909122375] type=0, code=0, value=0
[  +0,002027] mouse_logger: [18798911148774] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798911153116] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798911155152] type=0, code=0, value=0
[  +0,001011] mouse_logger: [18798912165571] type=2, code=1, value=1
[  +0,000004] mouse_logger: [18798912169863] type=0, code=0, value=0
[  +0,000940] mouse_logger: [18798913109400] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798913114899] type=0, code=0, value=0
[  +0,001088] mouse_logger: [18798914197580] type=2, code=1, value=1
[  +0,000012] mouse_logger: [18798914214884] type=0, code=0, value=0
[  +0,001897] mouse_logger: [18798916111542] type=2, code=0, value=-1
[  +0,000003] mouse_logger: [18798916115135] type=2, code=1, value=1
[  +0,000001] mouse_logger: [18798916116760] type=0, code=0, value=0
[  +0,003037] mouse_logger: [18798919153125] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798919157674] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798919159550] type=0, code=0, value=0
[  +0,001971] mouse_logger: [18798921129800] type=2, code=1, value=1
[  +0,000007] mouse_logger: [18798921136926] type=0, code=0, value=0
[  +0,003015] mouse_logger: [18798924151911] type=2, code=0, value=-1
[  +0,000007] mouse_logger: [18798924159628] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798924161765] type=0, code=0, value=0
[  +0,055000] mouse_logger: [18798979161547] type=2, code=0, value=-1
[  +0,000007] mouse_logger: [18798979169109] type=0, code=0, value=0
[  +0,011007] mouse_logger: [18798990175327] type=2, code=0, value=-1
